Event Name,Short Name,Event Description,Event Category,Event Start Date,Event Time Starts,Event End Date,Event Time Ends,Free Event,Accesible Event,Event Website,Event Email,Event Telephone,Location,Latitude,Longitude,Event Attendance,Mean Attendance per Day
Toronto Maple Leafs Opener,Maple Leafs Day 1,NHL regular season home opener at Scotiabank Arena.,Sports,2022-10-13,19:30:00,2022-10-13,10:30:00 PM,No,Yes,nhl.com/leafs,fanservices@mlse.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19000,19000
Toronto Waterfront Marathon,Marathon Day 1,Elite international marathon through downtown and waterfront.,Sports / Fitness,2022-10-16,8:00:00,2022-10-16,3:00:00 PM,No,Yes,torontowaterfrontmarathon.com,info@runwaterfront.com,+1 416-944-2765,Downtown Toronto,43.6532,-79.3832,25000,25000
Royal Agricultural Winter Fair,The Royal Day 1,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-04,9:00:00 AM,2022-11-04,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 2,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-05,9:00:00 AM,2022-11-05,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 3,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-06,9:00:00 AM,2022-11-06,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 4,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-07,9:00:00 AM,2022-11-07,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 5,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-08,9:00:00 AM,2022-11-08,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 6,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-09,9:00:00 AM,2022-11-09,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 7,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-10,9:00:00 AM,2022-11-10,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 8,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-11,9:00:00 AM,2022-11-11,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 9,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-12,9:00:00 AM,2022-11-12,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Royal Agricultural Winter Fair,The Royal Day 10,The world's largest combined indoor agricultural and equestrian event.,Agricultural / Fair,2022-11-13,9:00:00 AM,2022-11-13,6:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
The Original Santa Claus Parade,Santa Parade Day 1,Longest-running children's parade in North America.,Parade / Holiday,2022-11-20,12:30:00,2022-11-20,4:00:00 PM,Yes,Yes,thesantaclausparade.com,info@thesantaclausparade.com,+1 416-599-9909,Downtown Toronto,43.6532,-79.3832,500000,500000
Kensington Market Winter Solstice,Solstice Day 1,Neighborhood parade with fire performances.,Community / Parade,2022-12-21,6:00:00 PM,2022-12-21,9:00:00 PM,Yes,Yes,redpepperspectacle.com,redpepper@gmail.com,+1 416-504-6912,Kensington Market,43.6547,-79.4007,10000,10000
New Year's Eve at NPS,NYE Toronto,Countdown to the New Year with music and fireworks.,Holiday / Festival,2022-12-31,19:00:00,2023-01-01,12:30:00 AM,Yes,Yes,toronto.ca/nye,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,100000,100000
Toronto Boat Show,Boat Show Day 1,North America's largest indoor boat show.,Exhibition,2023-01-20,10:00:00 AM,2023-01-20,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 2,North America's largest indoor boat show.,Exhibition,2023-01-21,10:00:00 AM,2023-01-21,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 3,North America's largest indoor boat show.,Exhibition,2023-01-22,10:00:00 AM,2023-01-22,6:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 4,North America's largest indoor boat show.,Exhibition,2023-01-23,11:00:00 AM,2023-01-23,7:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 5,North America's largest indoor boat show.,Exhibition,2023-01-24,11:00:00 AM,2023-01-24,7:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 6,North America's largest indoor boat show.,Exhibition,2023-01-25,11:00:00 AM,2023-01-25,7:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 7,North America's largest indoor boat show.,Exhibition,2023-01-26,11:00:00 AM,2023-01-26,7:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 8,North America's largest indoor boat show.,Exhibition,2023-01-27,11:00:00 AM,2023-01-27,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 9,North America's largest indoor boat show.,Exhibition,2023-01-28,10:00:00 AM,2023-01-28,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Toronto Boat Show,Boat Show Day 10,North America's largest indoor boat show.,Exhibition,2023-01-29,10:00:00 AM,2023-01-29,5:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,75000,7500
Winterlicious,Winterlicious Day 1,City-wide culinary celebration with prix-fixe menus.,Food / Festival,2023-01-27,11:00:00 AM,2023-01-27,10:00:00 PM,No,Yes,toronto.ca/winterlicious,winterlicious@toronto.ca,+1 416-338-0338,Citywide,43.648,-79.381,250000,17857
AutoShow (CIAS),AutoShow Day 1,Canadian International AutoShow - Mobility reimagined.,Exhibition,2023-02-17,10:30:00 AM,2023-02-17,10:00:00 PM,No,Yes,autoshow.ca,info@autoshow.ca,+1 905-940-2800,MTCC,43.6444,-79.3854,350000,35000
AutoShow (CIAS),AutoShow Day 2,Canadian International AutoShow - Mobility reimagined.,Exhibition,2023-02-18,10:30:00 AM,2023-02-18,10:00:00 PM,No,Yes,autoshow.ca,info@autoshow.ca,+1 905-940-2800,MTCC,43.6444,-79.3854,350000,35000
Toronto Comic Con,Comic Con Day 1,Celebration of pop culture and sci-fi.,Convention,2023-03-17,10:00:00 AM,2023-03-17,7:00:00 PM,No,Yes,fanexpohq.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6441,-79.3879,35000,11666
Toronto Comic Con,Comic Con Day 2,Celebration of pop culture and sci-fi.,Convention,2023-03-18,10:00:00 AM,2023-03-18,7:00:00 PM,No,Yes,fanexpohq.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6441,-79.3879,35000,11666
Toronto Comic Con,Comic Con Day 3,Celebration of pop culture and sci-fi.,Convention,2023-03-19,10:00:00 AM,2023-03-19,5:00:00 PM,No,Yes,fanexpohq.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6441,-79.3879,35000,11666
St. Patrick's Day Parade,St. Patrick's Day,Annual celebration of Irish culture.,Parade,2023-03-19,12:00:00 PM,2023-03-19,3:00:00 PM,Yes,Yes,stpatrickstoronto.com,info@stpatrickstoronto.com,+1 416-996-8431,Yonge Street,43.6673,-79.3994,300000,300000
Blue Jays Home Opener,Jays Opener 2023,Opening game against Detroit Tigers.,Sports,2023-04-11,7:00:00 PM,2023-04-11,10:30:00 PM,No,Yes,mlb.com/bluejays,fanfeedback@bluejays.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,42000,42000
Hot Docs Festival,Hot Docs Day 1,International documentary film festival.,Arts / Cinema,2023-04-27,9:00:00 AM,2023-04-27,11:00:00 PM,No,Yes,hotdocs.ca,info@hotdocs.ca,+1 416-203-2155,Bloor Cinema,43.6659,-79.4101,200000,18181
Hot Docs Festival,Hot Docs Day 2,International documentary film festival.,Arts / Cinema,2023-04-28,9:00:00 AM,2023-04-28,11:00:00 PM,No,Yes,hotdocs.ca,info@hotdocs.ca,+1 416-203-2155,Bloor Cinema,43.6659,-79.4101,200000,18181
Contact Photography,Contact Day 1,Month-long photography festival.,Arts / Culture,2023-05-01,10:00:00 AM,2023-05-01,6:00:00 PM,Yes,Yes,scotiabankcontactphoto.com,info@contactphoto.com,+1 416-539-9595,Citywide,43.645,-79.395,1000000,33333
Sporting Life 10K,Sporting Life Run,Major run benefiting Campfire Circle.,Sports,2023-05-14,7:30:00 AM,2023-05-14,1:00:00 PM,No,Yes,sportinglife10k.ca,info@campfirecircle.org,+1 416-944-2765,Yonge Street,43.6978,-79.397,20000,20000
Doors Open Toronto,Doors Open Day 1,Architectural history event.,History,2023-05-27,10:00:00 AM,2023-05-27,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
Doors Open Toronto,Doors Open Day 2,Architectural history event.,History,2023-05-28,10:00:00 AM,2023-05-28,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
Luminato,Luminato Day 1,International festival of arts and ideas.,Arts / Culture,2023-06-07,10:00:00 AM,2023-06-07,11:00:00 PM,Yes,Yes,luminatofestival.com,info@luminato.com,+1 416-368-3745,Citywide,43.6475,-79.388,250000,25000
Pride Toronto Festival,Pride Toronto Day 1,Massive celebration of 2SLGBTQ+ communities.,Community,2023-06-23,10:00:00 AM,2023-06-23,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2500000,833333
Pride Toronto Festival,Pride Toronto Day 2,Massive celebration of 2SLGBTQ+ communities.,Community,2023-06-24,10:00:00 AM,2023-06-24,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2500000,833333
Pride Toronto Festival,Pride Toronto Day 3,The main Pride Parade and closing rallies.,Community,2023-06-25,10:00:00 AM,2023-06-25,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2500000,833333
Toronto Jazz Festival,Jazz Fest Day 1,International jazz festival in Bloor-Yorkville.,Music Festival,2023-06-23,12:00:00 PM,2023-06-23,11:00:00 PM,Yes,Yes,torontojazz.com,info@torontojazz.com,+1 416-928-2033,Yorkville,43.6702,-79.3912,500000,50000
Canada Day at NPS,Canada Day 2023,National holiday celebrations with fireworks.,Holiday,2023-07-01,12:00:00 PM,2023-07-01,11:00:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,100000,100000
Salsa on St. Clair,Salsa Day 1,Canada's largest Latino-themed street festival.,Festival / Dance,2023-07-08,12:00:00 PM,2023-07-08,10:00:00 PM,Yes,Yes,salsaintoronto.com,info@salsaintoronto.com,+1 416-744-5732,St. Clair Ave West,43.6781,-79.4312,350000,175000
Salsa on St. Clair,Salsa Day 2,Canada's largest Latino-themed street festival.,Festival / Dance,2023-07-09,12:00:00 PM,2023-07-09,9:00:00 PM,Yes,Yes,salsaintoronto.com,info@salsaintoronto.com,+1 416-744-5732,St. Clair Ave West,43.6781,-79.4312,350000,175000
Honda Indy Toronto,Honda Indy Day 1,IndyCar Series racing at Exhibition Place.,Sports / Racing,2023-07-14,8:00:00 AM,2023-07-14,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Honda Indy Toronto,Honda Indy Day 2,IndyCar Series racing at Exhibition Place.,Sports / Racing,2023-07-15,8:00:00 AM,2023-07-15,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Honda Indy Toronto,Honda Indy Day 3,IndyCar Series racing at Exhibition Place.,Sports / Racing,2023-07-16,8:00:00 AM,2023-07-16,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,150000,50000
Toronto Caribbean Carnival,Caribana Day 1,Cultural celebration of Caribbean heritage.,Festival / Culture,2023-08-03,9:00:00 AM,2023-08-03,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
Toronto Caribbean Carnival,Caribana Day 2,Cultural celebration of Caribbean heritage.,Festival / Culture,2023-08-04,9:00:00 AM,2023-08-04,11:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
Toronto Caribbean Carnival,Caribana Day 3,The Grand Parade at Exhibition Place.,Festival / Culture,2023-08-05,8:00:00 AM,2023-08-05,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Exhibition Place,43.6328,-79.4116,1200000,300000
Toronto Caribbean Carnival,Caribana Day 4,Cultural celebration of Caribbean heritage.,Festival / Culture,2023-08-06,10:00:00 AM,2023-08-06,8:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1200000,300000
Veld Music Festival,Veld Day 1,EDM and Hip-Hop festival at Downsview Park.,Music Festival,2023-08-04,1:00:00 PM,2023-08-04,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
Veld Music Festival,Veld Day 2,EDM and Hip-Hop festival at Downsview Park.,Music Festival,2023-08-05,1:00:00 PM,2023-08-05,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
Veld Music Festival,Veld Day 3,EDM and Hip-Hop festival at Downsview Park.,Music Festival,2023-08-06,1:00:00 PM,2023-08-06,11:00:00 PM,No,Yes,veldmusicfestival.com,info@inkentertainment.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,90000,30000
National Bank Open,Tennis Open Day 1,Premier professional tennis tournament (WTA).,Sports,2023-08-07,11:00:00 AM,2023-08-07,10:00:00 PM,No,Yes,nationalbankopen.com,info@tenniscanada.com,+1 416-665-9777,Sobeys Stadium,43.7715,-79.5103,150000,18750
National Bank Open,Tennis Open Day 2,Premier professional tennis tournament (WTA).,Sports,2023-08-08,11:00:00 AM,2023-08-08,10:00:00 PM,No,Yes,nationalbankopen.com,info@tenniscanada.com,+1 416-665-9777,Sobeys Stadium,43.7715,-79.5103,150000,18750
Canadian National Exhibition,CNE Day 1,Canada's largest annual community event.,Fair,2023-08-18,10:00:00 AM,2023-08-18,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Canadian National Exhibition,CNE Day 2,Canada's largest annual community event.,Fair,2023-08-19,10:00:00 AM,2023-08-19,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Fan Expo Canada,Fan Expo Day 1,Largest pop culture event in Canada.,Convention,2023-08-24,4:00:00 PM,2023-08-24,9:00:00 PM,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Fan Expo Canada,Fan Expo Day 2,Largest pop culture event in Canada.,Convention,2023-08-25,10:00:00 AM,2023-08-25,7:00:00 PM,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,135000,33750
Toronto Int. Film Festival,TIFF Day 1,World-renowned public film festival.,Arts / Cinema,2023-09-07,9:00:00 AM,2023-09-07,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Toronto Int. Film Festival,TIFF Day 2,World-renowned public film festival.,Arts / Cinema,2023-09-08,9:00:00 AM,2023-09-08,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Nuit Blanche Toronto,Nuit Blanche Day 1,All-night city-wide contemporary art event.,Arts,2023-09-23,7:00:00 PM,2023-09-24,7:00:00 AM,Yes,Yes,toronto.ca/nuitblanche,nuitblanche@toronto.ca,+1 416-338-0338,Citywide,43.6532,-79.3832,1000000,1000000
Maple Leafs Opener,Leafs Home Opener,First home game against Montreal Canadiens.,Sports,2023-10-11,7:00:00 PM,2023-10-11,10:00:00 PM,No,Yes,nhl.com/leafs,fanservices@mlse.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19000,19000
Toronto Waterfront Marathon,Marathon Day 1,Elite city marathon and charity run.,Sports,2023-10-15,8:00:00 AM,2023-10-15,3:00:00 PM,No,Yes,torontowaterfrontmarathon.com,info@runwaterfront.com,+1 416-944-2765,Downtown,43.6486,-79.3853,25000,25000
Royal Agricultural Winter Fair,The Royal Day 1,World's largest indoor agricultural fair.,Exhibition,2023-11-03,9:00:00 AM,2023-11-03,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Distillery Winter Village,Winter Village Day 1,Traditional holiday market and tree lighting.,Holiday,2023-11-16,10:00:00 AM,2023-11-16,9:00:00 PM,No,Yes,thedistillerywintervillage.com,info@thedistillery.ca,+1 416-364-1177,Distillery District,43.6503,-79.3596,600000,15000
Santa Claus Parade,Santa Parade 2023,Annual holiday parade through downtown.,Parade,2023-11-26,12:30:00 PM,2023-11-26,4:00:00 PM,Yes,Yes,thesantaclausparade.com,info@thesantaclausparade.com,+1 416-599-9909,Bloor St,43.6639,-79.418,750000,750000
Cavalcade of Lights,Cavalcade Day 1,Holiday celebration at City Hall.,Holiday,2023-11-25,3:00:00 PM,2023-11-25,11:00:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,50000,50000
New Year's Eve,NYE 2023,Closing the year with fireworks at the harbor.,Holiday,2023-12-31,7:00:00 PM,2024-01-01,12:30:00 AM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Waterfront,43.6535,-79.3841,150000,150000
Taste of the Danforth,Danforth Day 1,Canada's largest Greek food and culture festival.,Food / Festival,2023-08-11,6:00:00 PM,2023-08-11,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
Taste of the Danforth,Danforth Day 2,Canada's largest Greek food and culture festival.,Food / Festival,2023-08-12,12:00:00 PM,2023-08-12,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
Taste of the Danforth,Danforth Day 3,Canada's largest Greek food and culture festival.,Food / Festival,2023-08-13,12:00:00 PM,2023-08-13,10:00:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Avenue,43.679,-79.345,1600000,533333
Ed Sheeran: Mathematics Tour,Ed Sheeran Day 1,Record-breaking concert at the Rogers Centre.,Concert,2023-06-17,6:00:00 PM,2023-06-17,11:00:00 PM,No,Yes,rogerscentre.com,info@rogerscentre.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,50000,50000
Ed Sheeran: Mathematics Tour,Ed Sheeran Day 2,Record-breaking concert at the Rogers Centre.,Concert,2023-06-18,6:00:00 PM,2023-06-18,11:00:00 PM,No,Yes,rogerscentre.com,info@rogerscentre.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,50000,50000
Toronto Fringe Festival,Fringe Day 1,Unjuried theater and performance art festival.,Arts / Theater,2023-07-05,12:00:00 PM,2023-07-05,11:00:00 PM,No,Yes,fringetoronto.com,info@fringetoronto.com,+1 416-966-1062,Various Venues,43.6644,-79.4082,150000,12500
Toronto Fringe Festival,Fringe Day 2,Unjuried theater and performance art festival.,Arts / Theater,2023-07-06,12:00:00 PM,2023-07-06,11:00:00 PM,No,Yes,fringetoronto.com,info@fringetoronto.com,+1 416-966-1062,Various Venues,43.6644,-79.4082,150000,12500
Budweiser Stage: Post Malone,Post Malone Day 1,Sold out outdoor concert at the waterfront.,Concert,2023-07-19,7:00:00 PM,2023-07-19,11:00:00 PM,No,Yes,livenation.com,info@livenation.com,+1 416-263-5200,Budweiser Stage,43.6295,-79.4153,16000,16000
Budweiser Stage: Post Malone,Post Malone Day 2,Sold out outdoor concert at the waterfront.,Concert,2023-07-20,7:00:00 PM,2023-07-20,11:00:00 PM,No,Yes,livenation.com,info@livenation.com,+1 416-263-5200,Budweiser Stage,43.6295,-79.4153,16000,16000
ActiveTO Midtown,ActiveTO June,Street closure for active transportation and biking.,Sports,2023-06-11,7:00:00 AM,2023-06-11,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Yonge St (Midtown),43.688,-79.395,15000,15000
JerkFest Toronto,JerkFest Day 1,Celebration of Caribbean cuisine and music.,Food / Festival,2023-08-11,5:00:00 PM,2023-08-11,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
JerkFest Toronto,JerkFest Day 2,Celebration of Caribbean cuisine and music.,Food / Festival,2023-08-12,11:00:00 AM,2023-08-12,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
JerkFest Toronto,JerkFest Day 3,Celebration of Caribbean cuisine and music.,Food / Festival,2023-08-13,11:00:00 AM,2023-08-13,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,60000,20000
Toronto Comic Arts Festival,TCAF Day 1,International celebration of comics and graphic novels.,Arts / Literacy,2023-04-28,9:00:00 AM,2023-04-28,6:00:00 PM,Yes,Yes,torontocomics.com,info@torontocomics.com,+1 416-533-6300,Toronto Public Library,43.6718,-79.3867,30000,10000
Toronto Comic Arts Festival,TCAF Day 2,International celebration of comics and graphic novels.,Arts / Literacy,2023-04-29,9:00:00 AM,2023-04-29,6:00:00 PM,Yes,Yes,torontocomics.com,info@torontocomics.com,+1 416-533-6300,Toronto Public Library,43.6718,-79.3867,30000,10000
Toronto Comic Arts Festival,TCAF Day 3,International celebration of comics and graphic novels.,Arts / Literacy,2023-04-30,10:00:00 AM,2023-04-30,5:00:00 PM,Yes,Yes,torontocomics.com,info@torontocomics.com,+1 416-533-6300,Toronto Public Library,43.6718,-79.3867,30000,10000
Toronto Waterfront Night Market,WNM Day 1,Night festival with food and floating lanterns.,Food / Festival,2023-08-11,6:00:00 PM,2023-08-11,11:59:00 PM,No,Yes,waterfrontnightmarket.com,info@wnm.ca,+1 647-812-7065,Stanley Barracks,43.6366,-79.4124,120000,40000
Taste of Little Italy,Little Italy Day 1,Neighborhood food festival on College St.,Food / Festival,2023-06-16,7:00:00 PM,2023-06-16,11:59:00 PM,Yes,Yes,tolittleitaly.com,info@tolittleitaly.com,+1 416-546-4036,College Street,43.6554,-79.4132,200000,66666
Taste of Little Italy,Little Italy Day 2,Neighborhood food festival on College St.,Food / Festival,2023-06-17,11:00:00 AM,2023-06-17,11:59:00 PM,Yes,Yes,tolittleitaly.com,info@tolittleitaly.com,+1 416-546-4036,College Street,43.6554,-79.4132,200000,66666
Taste of Little Italy,Little Italy Day 3,Neighborhood food festival on College St.,Food / Festival,2023-06-18,11:00:00 AM,2023-06-18,10:00:00 PM,Yes,Yes,tolittleitaly.com,info@tolittleitaly.com,+1 416-546-4036,College Street,43.6554,-79.4132,200000,66666
Do West Fest,Do West Day 1,Community street festival on Dundas West.,Community,2023-06-09,6:00:00 PM,2023-06-09,11:00:00 PM,Yes,Yes,dowestfest.ca,info@dowestfest.ca,+1 416-533-3537,Dundas Street West,43.6501,-79.4345,250000,83333
Do West Fest,Do West Day 2,Community street festival on Dundas West.,Community,2023-06-10,11:00:00 AM,2023-06-10,11:00:00 PM,Yes,Yes,dowestfest.ca,info@dowestfest.ca,+1 416-533-3537,Dundas Street West,43.6501,-79.4345,250000,83333
Do West Fest,Do West Day 3,Community street festival on Dundas West.,Community,2023-06-11,11:00:00 AM,2023-06-11,10:00:00 PM,Yes,Yes,dowestfest.ca,info@dowestfest.ca,+1 416-533-3537,Dundas Street West,43.6501,-79.4345,250000,83333
Toronto Rock Home Opener,Toronto Rock Day 1,Professional box lacrosse home opener.,Sports,2023-12-09,7:00:00 PM,2023-12-09,9:30:00 PM,No,Yes,torontorock.com,info@torontorock.com,+1 416-596-3075,FirstOntario Centre,43.6435,-79.3791,10000,10000
Toronto Flower Show,Flower Show Day 1,Part of the Canada Blooms celebration.,Exhibition,2023-03-10,10:00:00 AM,2023-03-10,8:00:00 PM,No,Yes,canadablooms.com,info@canadablooms.com,+1 416-447-8655,Enercare Centre,43.6334,-79.4124,150000,15000
Aga Khan Museum: Duende,Duende Day 1,World music and dance festival.,Arts / Culture,2023-11-16,10:00:00 AM,2023-11-16,9:00:00 PM,No,Yes,agakhanmuseum.org,info@agakhanmuseum.org,+1 416-646-4677,Aga Khan Museum,43.7253,-79.3322,5000,1250
Street Eats Market,Street Eats Day 1,Largest food truck festival in Ontario.,Food / Festival,2023-05-20,12:00:00 PM,2023-05-20,8:00:00 PM,Yes,Yes,streeteatsmarket.com,info@streeteatsmarket.com,+1 416-123-4567,Scarborough Town Centre,43.7755,-79.2577,40000,20000
Indie88’s 10th Birthday,Indie88 Bash 2023,Major local music anniversary concert.,Concert,2023-09-15,7:00:00 PM,2023-09-15,1:00:00 AM,No,Yes,indie88.com,info@indie88.com,+1 416-588-0881,History (Venue),43.6664,-79.3131,2500,2500
